Year,Broad Creek,Lower Choptank,Middle Choptank,Upper Choptank,Tred Avon,Little Choptank (open),Little Choptank (closed),Harris Creek (open),Harris Creek (closed)
1989,0.519673,0.276053,0.35291,0.239572,0.432887,0.181242,0.794276,0.630227,1.29294
1990,1.50685,0.246057,0.18307,0.227808,0.919442,0.190705,0.733184,0.795585,1.90727
1991,1.48269,0.805338,0.746343,0.416985,1.16857,0.671119,0.864752,0.691464,1.19749
1992,1.41367,1.78587,1.67692,0.637199,1.92251,1.62872,2.17296,1.33882,2.72402
1993,1.86253,1.35756,1.43427,0.896815,1.91444,0.911073,1.47247,1.41454,6.62689
1994,0.346529,0.282568,0.328417,0.600103,0.341327,0.244732,0.243429,0.290831,1.04886
1995,1.15772,0.428977,0.269879,0.339269,0.840888,0.22634,0.676997,0.766273,1.81954
1996,0.661654,0.291789,0.306028,0.647605,0.405407,0.213113,0.462827,0.445513,0.745702
1997,0.341155,0.231079,0.221717,0.241197,0.332694,0.174308,0.312569,0.273065,1.05598
1998,0.473607,0.403151,0.229771,0.342944,0.500315,0.173373,0.377732,0.279996,0.378422
1999,0.858232,0.641362,0.398667,0.236158,1.16963,0.220517,0.637824,0.761905,1.25643
2000,0.366906,0.673629,0.526617,0.351691,0.626535,0.459788,0.61349,0.449016,0.526438
2001,0.628121,0.703731,0.465675,0.577217,0.697621,0.388633,1.03492,0.684186,0.809579
2002,0.998254,2.74293,1.28126,0.63651,1.34263,0.938596,2.08158,2.40573,2.15778
2003,0.378313,0.347001,0.325529,0.899148,0.336799,0.251439,0.447606,0.345317,0.560128
2004,0.145686,0.162117,0.176295,0.272531,0.222277,0.162994,0.15705,0.129334,0.344892
2005,0.122259,0.103226,0.150323,0.229774,0.159111,0.12158,0.0792411,0.126417,0.268412
2006,0.1813,0.17703,0.190298,0.243709,0.167297,0.158787,0.187617,0.130398,0.475465
2007,0.437269,0.296287,0.158072,0.130052,0.406163,0.173722,0.425932,0.363168,0.547641
2008,0.307146,0.228435,0.132298,0.110508,0.318383,0.0997932,0.386791,0.345024,0.352052
2009,0.252026,0.185313,0.0966748,0.125981,0.425502,0.100585,0.522162,0.224261,0.276148
2010,0.293311,0.255534,0.198428,0.12452,0.340348,0.147256,0.674359,0.208054,0.790986
2011,0.205299,0.284503,0.172142,0.0951295,0.162613,0.102965,0.179876,0.358594,0.339323
2012,0.163552,0.228488,0.13532,0.145666,0.232131,0.0807685,0.370987,0.313263,0.565407
2013,0.226358,0.298755,0.1447,0.1846,0.251081,0.166323,0.290398,0.327553,0.62055
2014,0.32397,0.25039,0.222108,0.0971982,0.245579,0.139019,0.275642,0.377667,2.6433
2015,,,,,,,,,
